,r_front_hip,r_front_upper,r_front_lower,not connected,r_rear_hip,r_rear_upper,r_rear_lower,not connected.1,l_front_hip,l_front_upper,l_front_lower,not connected.2,l_rear_hip,l_rear_upper,l_rear_lower
0,53,14,2,,55,15,8,,50,29,20,,47,22,17
1,133,147,162,,135,147,171,,130,160,180,,127,152,178
